cliente;atrasos;Resposta;temporel;valorfatura;p_gastoalim;regiaorisco;rendamensal
1;4;1;2;4;4;2;4
2;1;0;4;1;1;3;3
3;1;0;4;3;2;2;2
4;2;1;2;4;4;1;3
5;2;0;1;4;1;2;3
6;2;0;4;1;2;1;3
7;1;1;2;1;1;2;3
8;2;1;1;1;2;2;1
9;4;1;1;2;4;1;2
10;4;1;2;1;1;3;3
11;3;0;3;1;4;4;4
12;4;1;1;2;1;1;1
13;2;0;1;4;1;1;3
14;2;1;3;2;2;4;3
15;1;0;4;2;4;1;4
16;4;1;2;3;2;2;1
17;2;0;3;1;3;2;4
18;1;0;2;3;3;3;2
19;1;0;3;2;3;3;2
20;1;0;2;3;3;4;4
21;1;0;2;4;1;1;3
22;1;0;1;2;1;4;4
23;2;1;2;2;4;2;2
24;4;1;1;4;3;4;4
25;3;1;4;1;4;1;1
26;4;1;1;1;3;2;4
27;4;1;2;4;1;2;2
28;2;0;3;2;4;2;2
29;1;0;3;1;2;3;4
30;1;0;1;1;1;4;2
31;1;0;4;1;3;4;3
32;2;0;1;1;3;2;1
33;3;0;3;2;3;4;4
34;2;0;2;2;3;1;3
35;2;0;2;2;4;4;4
36;3;1;4;2;3;2;2
37;3;1;1;2;2;3;4
38;3;1;3;3;2;2;2
39;1;1;3;4;1;1;1
40;1;1;1;4;2;1;2
41;4;1;1;1;2;1;1
42;3;1;1;1;2;2;1
43;3;0;4;4;4;4;1
44;4;0;2;4;2;4;2
45;2;1;4;1;2;1;4
46;3;1;3;1;2;2;1
47;4;0;1;2;4;2;1
48;3;1;2;1;1;2;1
49;1;0;3;4;4;3;2
50;1;0;3;2;2;4;1
51;1;1;1;1;1;2;2
52;3;0;4;2;4;1;4
53;4;1;3;1;1;1;3
54;4;1;1;3;1;1;1
55;2;1;4;1;3;1;3
56;4;1;2;1;4;1;3
57;2;1;4;4;1;1;1
58;3;1;1;3;3;1;4
59;1;0;2;4;3;4;2
60;4;0;4;2;3;2;3
61;2;1;1;3;4;4;2
62;3;1;2;1;2;2;2
63;2;1;1;1;1;3;1
64;4;1;3;2;3;4;4
65;3;1;1;2;2;1;4
66;1;0;1;2;3;4;2
67;3;1;1;1;3;1;3
68;2;0;2;2;3;4;1
69;4;0;2;4;3;3;2
70;2;0;1;2;4;1;4
71;1;0;4;4;4;4;4
72;1;0;4;3;4;4;4
73;2;0;3;1;3;2;4
74;4;0;4;2;4;4;1
75;4;1;4;2;1;1;3
76;4;1;2;2;1;2;2
77;2;1;1;4;2;1;1
